date,open,close,high,low,volume,amount
2015-06-08,3830.17,3776.77,3830.92,3716.7,72102587,129894014976.0
2015-06-09,3851.59,3651.31,3851.59,3598.31,71298798,148439478272.0
2015-06-10,3565.34,3536.96,3587.98,3488.65,59103864,111902793728.0
2015-06-11,3535.81,3517.83,3573.14,3451.37,53887793,101221085184.0
2015-06-12,3527.12,3505.25,3537.89,3457.89,65631212,116376158208.0
2015-06-15,3497.94,3459.29,3544.87,3442.42,77728484,134602698752.0
2015-06-16,3412.91,3255.27,3416.45,3220.55,71199183,120521220096.0
2015-06-17,3237.53,3335.87,3351.45,3153.2,60227786,99975663616.0
2015-06-18,3317.38,3178.2,3327.66,3171.36,55294472,91038863360.0
2015-06-19,3097.11,2917.08,3143.57,2916.37,49768876,76757520384.0
2015-06-23,2922.55,2992.17,2993.71,2725.62,53419192,80145833984.0
2015-06-24,3013.24,3075.82,3077.89,2981.46,57474171,89839214592.0
2015-06-25,3081.01,2965.2,3098.11,2930.39,61458255,92778459136.0
2015-06-26,2864.76,2710.92,2931.22,2690.34,61730012,87943213056.0
2015-06-29,2786.95,2560.66,2796.61,2481.2,72692859,97304584192.0
2015-06-30,2534.01,2727.59,2732.15,2368.73,79684045,104488898560.0
2015-07-01,2682.43,2553.39,2775.55,2545.13,69768648,98112679936.0
2015-07-02,2553.72,2384.45,2582.01,2351.03,59812506,77362098176.0
2015-07-03,2308.54,2199.28,2400.62,2179.73,54091474,62494512384.0
2015-07-06,2385.14,2209.71,2385.14,2115.49,73146368,84577628160.0
2015-07-07,2128.62,2150.89,2174.32,2063.42,71998016,80611180544.0
2015-07-08,1990.49,2013.72,2088.68,1973.04,70038016,76286828544.0
2015-07-09,1970.62,2169.5,2169.5,1945.6,60502525,63805957632.0
2015-07-10,2210.01,2338.53,2339.99,2182.9,59449710,75342254080.0
2015-07-13,2397.64,2477.34,2506.82,2358.99,71725855,91551608832.0
2015-07-14,2470.01,2404.2,2537.45,2378.58,70475945,84476203008.0
2015-07-15,2367.76,2256.0,2376.23,2200.21,55863946,62715361536.0
2015-07-16,2240.41,2287.88,2353.89,2169.94,42275907,46947644928.0
2015-07-17,2301.21,2417.63,2449.63,2287.28,46770954,56288115456.0
2015-07-20,2415.22,2471.43,2497.14,2390.16,57860275,68153856768.0
2015-07-21,2449.09,2535.98,2570.39,2421.3,60693914,76406726656.0
2015-07-22,2532.29,2533.58,2555.72,2458.64,60055882,73707315200.0
2015-07-23,2528.62,2604.1,2619.15,2525.83,63288448,76415299584.0
2015-07-24,2611.2,2571.25,2674.8,2543.53,73876887,89928658944.0
2015-07-27,2499.78,2337.55,2565.26,2336.36,57318126,67208592128.0
2015-07-28,2224.16,2226.55,2331.88,2135.56,53032067,55307565312.0
2015-07-29,2268.52,2376.09,2381.44,2232.41,43144033,46967656704.0
2015-07-30,2365.95,2313.74,2434.82,2290.45,45805678,50885488384.0
2015-07-31,2284.44,2321.01,2362.89,2284.44,35938710,39557294848.0
2015-08-03,2295.96,2297.76,2340.39,2245.45,35955319,37532783616.0
2015-08-04,2303.74,2408.93,2409.24,2285.8,36231668,39772276224.0
2015-08-05,2405.96,2393.98,2465.12,2381.58,40302255,46128518144.0
2015-08-06,2340.95,2365.58,2406.84,2334.05,28209816,31925705728.0
2015-08-07,2396.3,2438.49,2452.66,2396.3,37930531,44193891584.0
2015-08-10,2499.78,2580.68,2590.91,2498.78,49069194,62292542720.0
2015-08-11,2596.53,2580.64,2616.34,2556.33,60166428,72104960000.0
2015-08-12,2548.22,2559.09,2603.07,2541.35,42498864,51348831488.0
2015-08-13,2542.31,2605.97,2605.98,2519.58,40371892,47289607168.0
2015-08-14,2624.97,2611.87,2658.62,2598.84,45549125,55538109184.0
2015-08-17,2599.32,2623.89,2635.46,2567.03,38277109,46088740608.0
2015-08-18,2626.29,2409.47,2634.96,2407.37,46374131,54378350592.0
2015-08-19,2332.74,2437.31,2457.88,2264.97,35729012,39405843712.0
2015-08-20,2417.41,2360.2,2434.65,2358.6,23045353,26279275520.0
2015-08-21,2334.71,2273.75,2370.87,2256.99,31677702,34524011264.0
2015-08-24,2197.31,2110.73,2210.22,2108.4,27863080,27853365760.0
2015-08-25,1967.37,1958.33,2016.0,1958.04,26818319,24884385792.0
2015-08-26,1965.66,1874.39,2007.44,1857.87,36270440,32053660672.0
2015-08-27,1911.15,1964.3,1964.78,1868.92,36082165,33111238912.0
2015-08-28,2000.68,2089.5,2090.15,1990.67,38387706,37333213696.0
2015-08-31,2088.8,2128.69,2130.49,2033.38,44854981,47385649408.0
2015-09-01,2079.27,2086.59,2090.54,2001.51,40299870,40961162496.0
2015-09-02,2001.42,2080.55,2109.11,1991.44,36592301,37645123328.0
2015-09-07,2081.27,2046.5,2146.97,2044.64,27862884,28479213056.0
2015-09-08,2021.73,2081.12,2091.47,1971.43,21079366,20457317632.0
2015-09-09,2097.28,2128.34,2144.59,2083.7,29128486,29350864128.0
2015-09-10,2099.43,2098.47,2137.64,2091.16,21206362,21632835840.0
2015-09-11,2097.84,2097.85,2122.59,2076.19,15571102,16017088000.0
2015-09-14,2138.69,2070.39,2144.75,2005.88,30032359,29758307840.0
2015-09-15,2025.23,1972.15,2045.62,1948.82,20006247,17880046080.0
2015-09-16,1970.46,2077.34,2092.79,1962.64,22661262,21189542400.0
2015-09-17,2073.33,2065.64,2149.52,2051.87,31579346,32514209536.0
2015-09-18,2086.45,2086.75,2100.92,2059.33,22096157,23014766848.0
2015-09-21,2084.97,2140.42,2142.58,2075.7,25270456,26446335488.0
2015-09-22,2139.71,2139.95,2165.25,2127.54,24712314,26590462208.0
2015-09-23,2103.38,2085.83,2123.55,2075.04,26097675,23063134976.0
2015-09-24,2098.6,2106.59,2112.37,2078.98,21232213,19685998848.0
2015-09-25,2090.36,2044.63,2101.5,2029.06,20396803,18464775424.0
2015-09-28,2045.77,2047.64,2053.92,2010.71,12455851,11131229952.0
2015-09-29,2018.15,1995.78,2026.85,1990.45,13762123,12108054528.0
2015-09-30,2004.96,2001.03,2020.13,1993.87,12694849,11438025472.0
2015-10-08,2055.99,2053.78,2068.14,2043.11,19332291,17886215936.0
2015-10-09,2051.87,2068.76,2076.5,2041.02,19218993,17614525440.0
2015-10-12,2072.9,2131.28,2151.88,2071.97,34835544,36354684416.0
2015-10-13,2113.58,2140.61,2145.12,2108.47,26142056,26786859776.0
2015-10-14,2138.34,2133.2,2161.52,2130.96,29030251,30554100736.0
2015-10-15,2124.64,2172.91,2172.91,2122.56,27912355,29046788864.0
2015-10-16,2186.67,2206.09,2206.74,2166.16,36030507,38328331776.0
2015-10-19,2218.83,2191.26,2225.09,2172.2,32234445,34588183552.0
2015-10-20,2190.33,2257.97,2261.29,2169.98,30280438,32695875072.0
2015-10-21,2264.22,2193.06,2313.09,2154.47,47338780,52900449792.0
2015-10-22,2169.6,2217.37,2227.07,2140.13,29788687,32039664896.0
2015-10-23,2215.67,2221.03,2228.85,2191.97,27623077,29154195200.0
2015-10-26,2245.12,2237.26,2251.59,2218.43,31047947,31162456832.0
2015-10-27,2223.54,2221.18,2231.93,2159.17,26523039,26932527360.0
2015-10-28,2210.4,2186.74,2237.47,2182.16,23670770,24035437824.0
