date,open,high,low,close,volume
2014-12-31,3000.0,3000.0,3000.0,3000.0,0
2015-01-02,3006.61,3006.61,3006.61,3006.61,0
2015-01-05,3007.64,3007.64,3007.64,3007.64,0
2015-01-06,3002.18,3002.18,3002.18,3002.18,0
2015-01-07,3024.34,3024.34,3024.34,3024.34,0
2015-01-08,3052.52,3052.52,3052.52,3052.52,0
2015-01-09,3063.38,3063.38,3063.38,3063.38,0
2015-01-12,3047.07,3047.07,3047.07,3047.07,0
2015-01-13,3053.3,3053.3,3053.3,3053.3,0
2015-01-14,3056.21,3056.21,3056.21,3056.21,0
2015-01-15,3065.58,3065.58,3065.58,3065.58,0
2015-01-16,3031.14,3031.14,3031.14,3031.14,0
2015-01-19,2988.56,2988.56,2988.56,2988.56,0
2015-01-20,3001.73,3001.73,3001.73,3001.73,0
2015-01-21,3046.01,3046.01,3046.01,3046.01,0
2015-01-22,3023.55,3023.55,3023.55,3023.55,0
2015-01-23,3041.28,3041.28,3041.28,3041.28,0
2015-01-26,3080.96,3080.96,3080.96,3080.96,0
2015-01-27,3087.11,3087.11,3087.11,3087.11,0
2015-01-28,3128.68,3128.68,3128.68,3128.68,0
2015-01-29,3095.4,3095.4,3095.4,3095.4,0
2015-01-30,3059.8,3059.8,3059.8,3059.8,0
2015-02-02,3039.75,3039.75,3039.75,3039.75,0
2015-02-03,3098.28,3098.28,3098.28,3098.28,0
2015-02-04,3128.76,3128.76,3128.76,3128.76,0
2015-02-05,3104.84,3104.84,3104.84,3104.84,0
2015-02-06,3103.54,3103.54,3103.54,3103.54,0
2015-02-09,3075.58,3075.58,3075.58,3075.58,0
2015-02-10,3077.02,3077.02,3077.02,3077.02,0
2015-02-11,3081.6,3081.6,3081.6,3081.6,0
2015-02-12,3093.91,3093.91,3093.91,3093.91,0
2015-02-13,3122.64,3122.64,3122.64,3122.64,0
2015-02-16,3149.18,3149.18,3149.18,3149.18,0
2015-02-17,3146.67,3146.67,3146.67,3146.67,0
2015-02-18,3122.04,3122.04,3122.04,3122.04,0
2015-02-23,3164.48,3164.48,3164.48,3164.48,0
2015-02-24,3171.66,3171.66,3171.66,3171.66,0
2015-02-25,3191.71,3191.71,3191.71,3191.71,0
